# The Faith Received — author denominations
#
# name <TAB> body <TAB> party <TAB> confidence <TAB> note
#
# BODY    the church he belonged to. One of: Anglican, Presbyterian,
#         Congregational, Baptist, Quaker, Continental Reformed,
#         Lutheran, Anabaptist, Arminian, Bohemian Brethren,
#         Waldensian, Socinian, Roman Catholic, Eastern Orthodox.
# PARTY   Puritan or Conformist, or blank. Cuts across the bodies.
# CONF    h  certain — a man whose church is not in question
#         m  confident — the standard account, held without hedging
#         l  inferred — from his associations, his printers, his dates
#                and what he wrote, not from a settled biography.
#            Read these as a first pass that wants checking.
#
# Either column may be blank, but not both. A man whose body is genuinely
# contested gets his party and no body, which is truer than a guess:
# John Lilburne wrote as a Leveller, was gathered with Separatists and
# died a Quaker, and filing him under any one of them misstates the
# other two.
#
# The name is matched on the key in assets/js/faith-denominations.js:
# life dates and cataloguers' apparatus stripped, surname-first names
# put back in reading order. So one line covers "Owen, John, 1616-1683"
# in Early English Books and "John Owen" in the Latin Library.
#
# A NOTE ON "ANGLICAN". It means the established Church of England,
# and carries no party with it. William Perkins was a beneficed
# clergyman of that church and is filed as one; his Puritan party says
# the rest. Only a man who actually left — to a gathered church, a
# presbytery, a meeting — takes a different body.

# ── The establishment ─────────────────────────────────────────────
Zwingli, Ulrich, 1484-1531	Continental Reformed		h
Ursinus, Zacharias, 1534-1583	Continental Reformed		h	The Heidelberg Catechism
Brès, Guy de, 1522-1567	Continental Reformed		h	The Belgic Confession
Marlorat, Augustin, 1506-1562	Continental Reformed		h	Huguenot; hanged at Rouen
L'Espine, Jean de, ca. 1506-1597	Continental Reformed		h	Huguenot
Serres, Jean de, 1540?-1598	Continental Reformed		h	Huguenot
La Primaudaye, Pierre de, b. ca. 1545	Continental Reformed		m	Huguenot
Primrose, Gilbert, ca. 1580-1642	Continental Reformed		m	Minister of the French church in London
Strigel, Victorinus, 1524-1569	Lutheran		h	Philippist
Rivius, Johann, 1500-1553	Lutheran		m

# ── Rome ──────────────────────────────────────────────────────────
Gardiner, Stephen, 1483?-1555	Roman Catholic		h	Bishop of Winchester under Mary
Harding, Thomas, 1516-1572	Roman Catholic		h	Jewel's opponent
Tunstall, Cuthbert, 1474-1559	Roman Catholic		h
Alcock, John, 1430-1500	Roman Catholic		h	Bishop of Ely
Whitford, Richard, fl. 1495-1555?	Roman Catholic		h	Syon Abbey
Smith, Richard, 1500-1563	Roman Catholic		h	Not the Bishop of Chalcedon
Bishop, William, 1554?-1624	Roman Catholic		h	Bishop of Chalcedon
Du Perron, Jacques Davy, 1556-1618	Roman Catholic		h	Cardinal
S. N. (Sylvester Norris), 1572-1630	Roman Catholic		h	Jesuit
Sergeant, John, 1622-1707	Roman Catholic		h
Gother, John, d. 1704	Roman Catholic		h
Ellis, Philip, 1652-1726	Roman Catholic		h	Benedictine
Heigham, John, fl. 1639	Roman Catholic		h
Kellison, Matthew	Roman Catholic		h	President of Douai
Arias, Francisco	Roman Catholic		h	Jesuit
Rodríguez, Alfonso, 1526-1616	Roman Catholic		h	Jesuit
Albertus, Magnus, Saint, 1193?-1280	Roman Catholic		h
Thomas, à Kempis, 1380-1471	Roman Catholic		h
Bernard, of Clairvaux, Saint, 1090 or 91-1153	Roman Catholic		m	Pre-Reformation Western church
Huggarde, Miles	Roman Catholic		h	Marian polemicist
Gwynneth, John	Roman Catholic		m
Lodge, Thomas, 1558?-1625	Roman Catholic		m	Converted; lay physician
Agrippa von Nettesheim, Heinrich Cornelius, 1486?-1535	Roman Catholic		m
Lemnius, Levinus, 1505-1568	Roman Catholic		m	Dutch physician and priest
Guevara, Antonio de, Bp., d. 1545?	Roman Catholic		h	Franciscan; Bishop of Mondoñedo
Lindsay, David, Sir, fl. 1490-1555	Roman Catholic		m	Scots makar; satirised the church he died in

# ══ Fifth pass ════════════════════════════════════════════════════

# ── Anglican, conforming ──────────────────────────────────────────
Du Moulin, Peter, 1601-1684	Anglican	Conformist	h	Son of the Huguenot; prebendary of Canterbury
L'Estrange, Hamon, 1605-1660	Anglican	Conformist	h	Lay
Mossom, Robert, d. 1679	Anglican	Conformist	h	Bishop of Derry
Clarendon, Edward Hyde, Earl of, 1609-1674	Anglican	Conformist	h	Lay; Lord Chancellor
Thomas, William, 1613-1689	Anglican	Conformist	h	Bishop of Worcester; not the ejected man of 1593-1667
Basier, Isaac, 1607-1676	Anglican	Conformist	h
Lucy, William, 1594-1677	Anglican	Conformist	h	Bishop of St David's
Crossman, Samuel, 1624?-1684	Anglican	Conformist	h
Croft, Herbert, 1603-1691	Anglican	Conformist	h	Bishop of Hereford
Nalson, John, 1638?-1686	Anglican	Conformist	h
Compton, Henry, 1632-1713	Anglican	Conformist	h	Bishop of London
Manningham, Thomas, 1651?-1722	Anglican	Conformist	h
Fleetwood, William, 1656-1723	Anglican	Conformist	h
King, William, 1650-1729	Anglican	Conformist	h	Archbishop of Dublin
Talbot, William, 1658 or 9-1730	Anglican	Conformist	h
Wharton, Henry, 1664-1695	Anglican	Conformist	h	Anglia Sacra
Divine of the Church of England	Anglican	Conformist	h	The catalogue's own description is the answer
Bridges, John, d. 1618	Anglican	Conformist	h	Marprelate's target
Cosin, Richard, 1549?-1597	Anglican	Conformist	h	Civilian; prosecuted the Puritan classes
Balcanquhall, Walter, 1586?-1645	Anglican	Conformist	h	British delegate to Dort
Godwin, Francis, 1562-1633	Anglican	Conformist	h	Bishop of Hereford
Valentine, Henry, d. 1643	Anglican	Conformist	m
Sandys, George, 1578-1644	Anglican	Conformist	m	Lay poet
Grantham, Thomas, d. 1664	Anglican	Conformist	m	Not the General Baptist of 1634-1692
Standfast, Richard, 1608?-1684	Anglican	Conformist	m
Gell, Robert, 1595-1665	Anglican	Conformist	m
Howe, Obadiah, 1615 or 16-1683	Anglican	Conformist	m	Conformed in 1662
Knell, Paul, 1615?-1664	Anglican	Conformist	m	Royalist
Barksdale, Clement, 1609-1687	Anglican	Conformist	m
Porter, Edmund, 1595-1670	Anglican	Conformist	m
Hallywell, Henry, d. 1703?	Anglican	Conformist	m
Elborow, Thomas	Anglican	Conformist	m
Smythies, William, d. 1715	Anglican	Conformist	m
Beaulieu, Luke, 1644 or 5-1723	Anglican	Conformist	m	Huguenot who took English orders
Falkner, William, d. 1682	Anglican	Conformist	m
Goodman, John, 1625 or 6-1690	Anglican	Conformist	m
Stainforth, William, d. 1713	Anglican	Conformist	m
Pittis, Thomas, 1636-1687	Anglican	Conformist	m
Mackenzie, George, Sir, 1636-1691	Anglican	Conformist	m	Lay; Scottish Episcopalian
Gipps, Thomas, d. 1709	Anglican	Conformist	m
Warren, Erasmus	Anglican	Conformist	m
Wyvill, Christopher, 1651?-1711	Anglican	Conformist	m
Halley, George, 1655 or 6-1708	Anglican	Conformist	m
Bold, S. (Samuel), 1649-1737	Anglican	Conformist	m
Jones, David, 1663-1724?	Anglican	Conformist	m
Pead, Devel, d. 1727	Anglican	Conformist	m
Tate, Nahum, 1652-1715	Anglican	Conformist	m	Lay; Poet Laureate
Dering, Edward, Sir, 1598-1644	Anglican	Conformist	m	Lay; MP
Ascham, Roger, 1515-1568	Anglican	Conformist	m	Lay
Wilson, Thomas, 1525?-1581	Anglican	Conformist	m	Lay; Secretary of State
Merbecke, John, ca. 1510-ca. 1585	Anglican	Conformist	m
Gosson, Stephen, 1554-1624	Anglican	Conformist	m
Chardon, John, d. 1601	Anglican	Conformist	m
Trigge, Francis, 1547?-1606	Anglican	Conformist	m
Nash, Thomas, 1567-1601	Anglican	Conformist	m	Lay; wrote against Martin Marprelate
Spenser, Edmund, 1552?-1599	Anglican	Conformist	m	Lay poet
Meres, Francis, 1565-1647	Anglican	Conformist	m
Symonds, William, 1556-1616?	Anglican	Conformist	m
Cowell, John, 1554-1611	Anglican	Conformist	m	Lay civilian
Panke, John	Anglican	Conformist	m
Dawes, Lancelot, 1580-1653	Anglican	Conformist	m
Hoby, Edward, Sir, 1560-1617	Anglican	Conformist	m	Lay
Myriell, Thomas, d. 1629	Anglican	Conformist	m
Owen, David, d. 1623	Anglican	Conformist	m
Roberts, Alexander, d. 1620	Anglican	Conformist	m
Stafford, Anthony	Anglican	Conformist	m
Day, John, 1566-1628	Anglican	Conformist	m
Forbes, Patrick, 1564-1635	Anglican	Conformist	m	Bishop of Aberdeen
Rogers, Francis, d. 1638	Anglican	Conformist	m
Brerewood, Edward, 1565?-1613	Anglican	Conformist	m	Lay
Garey, Samuel, 1582 or 3-1646	Anglican	Conformist	m
Sutton, Thomas, 1585-1623	Anglican	Conformist	m
Cade, Anthony, 1564?-1641	Anglican	Conformist	m
Lindsay, David, d. 1641?	Anglican	Conformist	m	Scottish bishop
Slatyer, William, 1587-1647	Anglican	Conformist	m
Sibthorp, Christopher, Sir, d. 1632	Anglican	Conformist	m	Lay; Irish judge
Chaloner, Edward, 1590 or 91-1625	Anglican	Conformist	m
Bargrave, Isaac, 1586-1643	Anglican	Conformist	m
Gee, John, 1596-1639	Anglican	Conformist	m	Left Rome
Goffe, Thomas, 1591-1629	Anglican	Conformist	m
Vicars, Thomas, d. 1638	Anglican	Conformist	m
Kellett, Edward, 1583-1641	Anglican	Conformist	m
Tozer, Henry, 1602-1650	Anglican	Conformist	m
Reeve, Edmund, d. 1660	Anglican	Conformist	m
Saint German, Christopher, 1460?-1540	Anglican		m	Lay lawyer of the Henrician settlement
Mardeley, John	Anglican		m
Askew, Anne, 1521-1546	Anglican		m	Burned at Smithfield, 1546
Browne, Edward	Anglican	Conformist	l
Spencer, Benjamin, b. 1595?	Anglican	Conformist	l
Monson, John, Sir, 1600-1683	Anglican	Conformist	l	Lay
Ramesey, William, 1627-1675 or 6	Anglican	Conformist	l	Lay astrologer
Harrington, James, 1611-1677	Anglican	Conformist	l	Lay political theorist
Stubbe, Henry, 1632-1676	Anglican	Conformist	l	Lay
Layton, Henry, 1622-1705	Anglican	Conformist	l	Lay
Lathom, Paul	Anglican	Conformist	l
Nicholets, Charles	Presbyterian	Puritan	l
Cotton, Robert, Sir, 1571-1631	Anglican	Conformist	l	Lay antiquary
Munday, Anthony, 1553-1633	Anglican	Conformist	l	Lay
Waring, Robert, 1614-1658	Anglican	Conformist	l
Knell, Thomas	Anglican	Conformist	l
Palfreyman, Thomas, d. 1589?	Anglican	Conformist	l
Drant, Thomas, b. 1601 or 2	Anglican	Conformist	l
Scot, Reginald, 1538?-1599	Anglican	Conformist	l	Lay
Banister, John, 1540-1610	Anglican	Conformist	l	Lay surgeon
Hooker, John, 1526?-1601	Anglican	Conformist	l	Lay
Nicholls, John, 1555-1584?	Anglican	Conformist	l
Bentley, Thomas, student of Gray's Inn	Anglican	Conformist	l	Lay
Hutchins, Edward, 1558?-1629	Anglican	Conformist	l
Fulbeck, William, 1560-1603?	Anglican	Conformist	l	Lay lawyer
Fraunce, Abraham, fl. 1587-1633	Anglican	Conformist	l	Lay
Markham, Gervase, 1568?-1637	Anglican	Conformist	l	Lay
Mavericke, Radford, b. 1560 or 61	Anglican	Conformist	l
Pinner, Charles	Anglican	Conformist	l
Hayward, John, D.D.	Anglican	Conformist	l
Salteren, George	Anglican	Conformist	l	Lay
Nixon, Anthony	Anglican	Conformist	l	Lay
Cleland, James, d. 1627	Anglican	Conformist	l
Hubbock, William, b. 1560	Anglican	Conformist	l
Middleton, Richard, d. 1641	Anglican	Conformist	l
Preston, John, minister of East Ogwell	Anglican	Conformist	l	Not the master of Emmanuel
Swetnam, Joseph, fl. 1617	Anglican	Conformist	l	Lay
Cannon, Nathanael, 1581 or 2-1664	Anglican	Conformist	l
Lithgow, William, 1582-1645?	Anglican	Conformist	l	Lay traveller
Scot, Patrick	Anglican	Conformist	l
R. B. (Richard Baddeley)	Anglican	Conformist	l
Brookes, Matthew, fl. 1626-1657	Anglican	Conformist	l
Hampton, William, 1599 or 1600-1677	Anglican	Conformist	l
Symmer, Archibald	Anglican	Conformist	l

# ── Anglican, Puritan ─────────────────────────────────────────────
Bayly, Lewis, d. 1631	Anglican	Puritan	h	The Practice of Piety
Crook, Samuel, 1575-1649	Anglican	Puritan	h
Beard, Thomas, d. 1632	Anglican	Puritan	h	Cromwell's schoolmaster
Rogers, John, 1572?-1636	Anglican	Puritan	h	Of Dedham
Smart, Peter, 1569-1652?	Anglican	Puritan	h	Preached against Cosin's ceremonies at Durham
Nichols, Josias, 1555?-1639	Anglican	Puritan	h
Pagit, Eusebius, 1547?-1617	Anglican	Puritan	h
Knewstubs, John, 1544-1624	Anglican	Puritan	h	Spoke for the Puritans at Hampton Court
Sampson, Thomas, 1517?-1589	Anglican	Puritan	h	Deprived in the vestiarian controversy
Pilkington, James, 1520?-1576	Anglican	Puritan	h	Bishop of Durham; Marian exile
Bentham, Joseph, 1594?-1671	Anglican	Puritan	m
Gove, R. (Richard), 1587-1668	Anglican	Puritan	m
Gurnay, Edmund, d. 1648	Anglican	Puritan	m
Mosse, Miles, fl. 1580-1614	Anglican	Puritan	m
Stoughton, Thomas	Anglican	Puritan	m
Finch, Henry, Sir, d. 1625	Anglican	Puritan	m	Lay
Lynde, Humphrey, Sir	Anglican	Puritan	m	Lay controversialist
Northbrooke, John	Anglican	Puritan	m
Shutte, Christopher, d. 1626	Anglican	Puritan	m
Carter, Bezaleel, d. 1629	Anglican	Puritan	m
Sadler, John, 1615-1674	Anglican	Puritan	l	Lay
Hunt, James, 17th cent	Anglican	Puritan	l
Harby, Thomas	Anglican	Puritan	l
Starbuck, William	Anglican	Puritan	l
Bray, William, 17th cent	Anglican	Puritan	l
Hunter, Josiah, minister in York	Anglican	Puritan	l
Hake, Edward, fl. 1560-1604	Anglican	Puritan	l	Lay
Rogers, John, fl. 1560-1580	Anglican	Puritan	l
Tomkys, John	Anglican	Puritan	l
Lupton, Thomas	Anglican	Puritan	l
Gibson, Thomas, M.A.	Anglican	Puritan	l
Cotton, Roger	Anglican	Puritan	l
Phillips, George, fl. 1597	Anglican	Puritan	l
Top, Alexander	Anglican	Puritan	l
Holbrooke, William	Anglican	Puritan	l

# ── Presbyterian ──────────────────────────────────────────────────
Arrowsmith, John, 1602-1659	Presbyterian	Puritan	h	Westminster divine
Jackson, Arthur, 1593?-1666	Presbyterian	Puritan	h
Bastwick, John, 1593-1654	Presbyterian	Puritan	h	One of the three who lost their ears
Bagshawe, William, 1628-1702	Presbyterian	Puritan	h	The Apostle of the Peak
Fergusson, James, 1621-1667	Presbyterian	Puritan	h	Church of Scotland
Shields, Alexander, 1660?-1700	Presbyterian	Puritan	h	Covenanter
Bruce, Robert, 1554-1631	Presbyterian	Puritan	h	Church of Scotland
Davidson, John, ca. 1549-1603	Presbyterian	Puritan	h	Church of Scotland
Fielde, John, d. 1588	Presbyterian	Puritan	h	Admonition to the Parliament
Leighton, Alexander, 1568-1649	Presbyterian	Puritan	h
Marprelate, Martin, pseud	Presbyterian	Puritan	m	The pen name of the presbyterian tracts, whoever held it
Hodges, Thomas, 1599 or 1600-1672	Presbyterian	Puritan	m
Stevart, Adam	Presbyterian	Puritan	m	Scot; wrote against the Independents
Valentine, Thomas, 1585 or 6-1665?	Presbyterian	Puritan	m	Westminster divine
Newton, George, 1602-1681	Presbyterian	Puritan	m
Bryan, John, d. 1676	Presbyterian	Puritan	m	Ejected 1662
Sheffeild, John, d. 1680	Presbyterian	Puritan	m
Lyford, William, 1598-1653	Presbyterian	Puritan	m
Gilbert, Claudius, d. 1696?	Presbyterian	Puritan	m
Ferguson, Robert, d. 1714	Presbyterian	Puritan	m
Taylor, Nathanael, d. 1702	Presbyterian	Puritan	m
Hume, Alexander, 1560?-1609	Presbyterian	Puritan	m	Church of Scotland
Trepidantium Malleus	Presbyterian	Puritan	l	The pen name of Samuel Young
Porter, Thomas, d. 1667	Presbyterian	Puritan	l
Whitfield, Thomas, Minister of the Gospel	Presbyterian	Puritan	l
Lauder, William, 1520?-1573	Presbyterian	Puritan	l	Scots makar turned Reformed minister

# ── Congregational and Independent ────────────────────────────────
Chauncy, Charles, 1592-1672	Congregational	Puritan	h	President of Harvard
Hooke, William, 1600 or 1601-1678	Congregational	Puritan	h	New England
Simpson, Sidrach, 1600?-1655	Congregational	Puritan	h	Dissenting Brother
Cobbet, Thomas, 1608-1685	Congregational	Puritan	h	New England
Moodey, Joshua, 1633?-1697	Congregational	Puritan	h	New England
Palmer, Anthony, 1618?-1679	Congregational	Puritan	h
Petto, Samuel, 1624?-1711	Congregational	Puritan	h
Symonds, Joseph	Congregational	Puritan	m
Aspinwall, William, fl. 1648-1662	Congregational	Puritan	m	Fifth Monarchist
Harrison, Thomas, 1619-1682	Congregational	Puritan	m
Dyer, William, d. 1696	Congregational	Puritan	m
Haworth, William	Congregational	Puritan	m
Buckler, Edward, 1610-1706	Congregational	Puritan	l

# ── Baptist ───────────────────────────────────────────────────────
Helwys, Thomas, 1550?-1616?	Baptist	Puritan	h	The first Baptist church on English soil
Barbon, Praisegod, 1596?-1679	Baptist	Puritan	h
Chamberlen, Peter, 1601-1683	Baptist	Puritan	m	Seventh Day Baptist
Marlow, Isaac	Baptist	Puritan	m	Particular Baptist; against congregational singing

# ── Quaker ────────────────────────────────────────────────────────
Lawson, Thomas, 1630-1691	Quaker		h
Clark, Henry, 17th cent	Quaker		m

# ── Socinian ──────────────────────────────────────────────────────
Biddle, John, 1615-1662	Socinian		h	The father of English Unitarianism

# ── Arminian ──────────────────────────────────────────────────────
Le Clerc, Jean, 1657-1736	Arminian		h	Remonstrant, at Amsterdam

# ── The continent ─────────────────────────────────────────────────
Junius, Franciscus, 1545-1602	Continental Reformed		h	The elder, of Leiden
Ramus, Petrus, 1515-1572	Continental Reformed		h	Killed in the St Bartholomew's Day massacre
Languet, Hubert, 1518-1581	Continental Reformed		h	Huguenot
Scultetus, Abraham, 1566-1624	Continental Reformed		h	Heidelberg
Drelincourt, Charles, 1595-1669	Continental Reformed		h	Huguenot, at Charenton
Werdmüller, Otto, 1511-1552	Continental Reformed		h	Zurich
Corro, Antonio del, 1527-1591	Continental Reformed		m	Spanish exile; suspected of heterodoxy by both sides
Perrin, J. P. (Jean Paul)	Continental Reformed		m	Wrote the Waldensian history
Sleidanus, Johannes, 1506-1556	Lutheran		h	The historian of the Reformation
Wied, Hermann von	Lutheran		m	The Cologne Consultation, drafted by Bucer and Melanchthon
Hamilton, Patrick, 1504?-1528	Lutheran		m	Scotland's protomartyr; Lutheran in doctrine

# ── Rome ──────────────────────────────────────────────────────────
Campion, Edmund, Saint, 1540-1581	Roman Catholic		h	Jesuit; martyred 1581
Garnet, Henry, 1555-1606	Roman Catholic		h	Jesuit
Canisius, Petrus, Saint, 1521-1597	Roman Catholic		h	Jesuit
Lessius, Leonardus, 1554-1623	Roman Catholic		h	Jesuit
Becanus, Martinus, 1563-1624	Roman Catholic		h	Jesuit
Sabran, Lewis, 1652-1732	Roman Catholic		h	Jesuit
Bristow, Richard, 1538-1581	Roman Catholic		h	Douai
Worthington, Thomas, 1549-1627	Roman Catholic		h	President of Douai
Sander, Nicholas, 1530?-1581	Roman Catholic		h
Leslie, John, 1527-1596	Roman Catholic		h	Bishop of Ross
Verstegan, Richard, ca. 1550-1640	Roman Catholic		h
Champney, Anthony, 1569?-1643?	Roman Catholic		h
Weston, Edward, 1566-1635	Roman Catholic		h
Osório, Jerónimo, 1506-1580	Roman Catholic		h	Bishop of Silves
Du Vair, Guillaume, 1556-1621	Roman Catholic		h
Francis, de Sales, Saint, 1567-1622	Roman Catholic		h
Vives, Juan Luis, 1492-1540	Roman Catholic		h
Longland, John, 1473-1547	Roman Catholic		h	Bishop of Lincoln
Mirk, John, fl. 1403?	Roman Catholic		h
Walker, Obadiah, 1616-1699	Roman Catholic		m	Converted under James II
Bayly, Thomas, d. 1657?	Roman Catholic		m	Converted
Wright, Thomas, d. 1624	Roman Catholic		m	Left the Jesuits, stayed Catholic
Tedder, William	Roman Catholic		m	Recanted at Paul's Cross and returned
Doughty, Thomas, fl. 1618-1638	Roman Catholic		m
Boaistuau, Pierre, d. 1566	Roman Catholic		m
Lefèvre, Raoul, fl. 1460	Roman Catholic		m
Rastell, John, d. 1536	Roman Catholic		m	The printer; father of the Jesuit
Skelton, John, 1460?-1529	Roman Catholic		m
Lupset, Thomas, 1495?-1530	Roman Catholic		m
Ratramnus, monk of Corbie, d. ca. 868	Roman Catholic		m	Pre-schism Western church
De Dominis, Marco Antonio, 1560-1624	Roman Catholic		m	Crossed to England and went back; died in the Castel Sant'Angelo

# ── Party without a body ──────────────────────────────────────────
Robinson, Henry, 1605?-1664?		Puritan	l	Lay; wrote for toleration and joined no church
Gorton, Samuel, 1592 or 3-1677		Puritan	l	Founded his own sect in Rhode Island
Hartlib, Samuel, d. 1662		Puritan	l	Lay
Cook, John, d. 1660		Puritan	l	Lay; prosecuted the King
Coppin, Richard, fl. 1646-1659		Puritan	l	Universalist; tried with the Ranters
Webster, John, 1610-1682		Puritan	l	Seeker

# ══ Sixth pass ════════════════════════════════════════════════════

# ── Anglican, conforming ──────────────────────────────────────────
Thornborough, John, 1551-1641	Anglican	Conformist	h	Bishop of Worcester
Rainbowe, Edward, 1608-1684	Anglican	Conformist	h	Bishop of Carlisle
Ironside, Gilbert, 1588-1671	Anglican	Conformist	h	Bishop of Bristol
Hall, George, 1612?-1668	Anglican	Conformist	h	Bishop of Chester
Griffith, Matthew, 1599?-1665	Anglican	Conformist	h	Royalist
Haywood, William, 1599 or 1600-1663	Anglican	Conformist	h	Laudian
Holdsworth, Richard, 1590-1649	Anglican	Conformist	h
Ryves, Bruno, 1596-1677	Anglican	Conformist	h
Filmer, Robert, Sir, d. 1653	Anglican	Conformist	h	Lay; Patriarcha
Hewit, John, 1614-1658	Anglican	Conformist	h	Royalist; beheaded 1658
Brownrig, Ralph, 1592-1659	Anglican	Conformist	h	Bishop of Exeter
Boyle, Robert, 1627-1691	Anglican	Conformist	h	Lay
Spencer, John, 1630-1693	Anglican	Conformist	h	Dean of Ely
Lake, John, 1624-1689	Anglican	Conformist	h	Nonjuror
Addison, Lancelot, 1632-1703	Anglican	Conformist	h
Saywell, William, 1643-1701	Anglican	Conformist	h
Bisbie, Nathaniel, 1635-1695	Anglican	Conformist	h	Nonjuror
Grenville, Denis, 1637-1703	Anglican	Conformist	h	Nonjuror
Milner, John, 1628-1702	Anglican	Conformist	h	Nonjuror
Grascome, Samuel, 1641-1708?	Anglican	Conformist	h	Nonjuror
Vesey, John, 1636-1716	Anglican	Conformist	h	Archbishop of Tuam
Nicholls, William, 1664-1712	Anglican	Conformist	h
Wesley, Samuel, 1662-1735	Anglican	Conformist	h
Bray, Thomas, 1658-1730	Anglican	Conformist	h	Founded the SPCK
Blackall, Offspring, 1654-1716	Anglican	Conformist	h	Bishop of Exeter
Nowel, Alexander, 1507?-1602	Anglican	Conformist	h	Dean of St Paul's; his catechism
Presbyter of the Church of England	Anglican	Conformist	h	The catalogue's own description is the answer
Price, William, d. 1666	Anglican	Conformist	m
Sherman, John, d. 1663	Anglican	Conformist	m
Ellis, John, 1606?-1681	Anglican	Conformist	m
Watson, Richard, 1612-1685	Anglican	Conformist	m
Shute, Josias, 1588-1643	Anglican	Conformist	m
Gregory, John, 1607-1646	Anglican	Conformist	m
Terry, Edward, 1590-1660	Anglican	Conformist	m
Raleigh, Walter, Sir, 1552?-1618	Anglican	Conformist	m	Lay
Jenkins, David, 1582-1663	Anglican	Conformist	m	Lay judge; royalist
Durham, William, 1611-1684	Anglican	Conformist	m
Dillingham, William, 1617?-1689	Anglican	Conformist	m
Hinckley, John, 1617?-1695	Anglican	Conformist	m
Templer, John, d. 1693	Anglican	Conformist	m
Willis, Thomas, 1619 or 20-1692	Anglican	Conformist	m
H. S. (Henry Savage), 1604?-1672	Anglican	Conformist	m
Wolley, Edward, 1603-1684	Anglican	Conformist	m
Lane, Edward, 1605-1685	Anglican	Conformist	m
Oldisworth, Giles, 1619-1678	Anglican	Conformist	m
Dixon, Robert, d. 1688	Anglican	Conformist	m
Bushel, Seth, 1621-1684	Anglican	Conformist	m
Jekyll, Thomas, 1646-1698	Anglican	Conformist	m
Shelton, William, d. 1699	Anglican	Conformist	m
Hascard, Gregory	Anglican	Conformist	m
Garrett, Walter	Anglican	Conformist	m
Godwyn, Morgan, fl. 1685	Anglican	Conformist	m	Wrote for the baptism of slaves
Salgado, James, fl. 1680	Anglican	Conformist	m	Spanish priest who conformed
Dorrington, Theophilus, d. 1715	Anglican	Conformist	m
Gaskarth, John, d. 1732	Anglican	Conformist	m
Pearson, Richard, d. 1734	Anglican	Conformist	m
Bryan, Matthew, d. 1699	Anglican	Conformist	m	Nonjuror
Masters, Samuel, 1645 or 6-1693	Anglican	Conformist	m
Woodroffe, Benjamin, 1638-1711	Anglican	Conformist	m
Johnston, Joseph, d. 1723	Anglican	Conformist	m
Altham, Michael, 1633-1705	Anglican	Conformist	m
Jenks, Benjamin, 1646-1724	Anglican	Conformist	m
Mackqueen, John, d. 1734	Anglican	Conformist	m	Scottish Episcopalian
Gardiner, James, 1637-1705	Anglican	Conformist	m	Bishop of Lincoln
Cockburn, John, 1652-1729	Anglican	Conformist	m	Scottish Episcopalian
Bury, Arthur, 1624-1713	Anglican	Conformist	m	Rector of Exeter College; The Naked Gospel was burned for Socinianism
Burches, George, d. 1658	Anglican	Conformist	l
Barton, Thomas, 1599 or 1600-1682 or 3	Anglican	Conformist	l
Straight, John, 1605?-1680	Anglican	Conformist	l
J. B. (John Bulwer), fl. 1648-1654	Anglican	Conformist	l	Lay physician
Beaumont, Francis, 1584-1616	Anglican	Conformist	l	Lay dramatist
Godolphin, John, 1617-1678	Anglican	Conformist	l	Lay civilian
Thomas, Michael, rector of Stockton	Anglican	Conformist	l
Ramsey, John, Minister of East Rudham	Anglican	Conformist	l
R. P. (Robert Perrot)	Anglican	Conformist	l
Ogilby, John, 1600-1676	Anglican	Conformist	l	Lay
Seppens, Robert	Anglican	Conformist	l
Meriton, George, 1634-1711	Anglican	Conformist	l	Lay; not the divine of d. 1624
Gibbon, John, 1629-1718	Anglican	Conformist	l	Lay herald
Sharpe, Lewes	Anglican	Conformist	l
J. B. (John Butler)	Anglican	Conformist	l
Lougher, John, d. 1686	Anglican	Conformist	l
Peck, Samuel	Anglican	Conformist	l
R. B., 1632?-1725?	Anglican	Conformist	l	Nathaniel Crouch, writing as Richard Burton
Wilson, Thomas, 17th cent	Anglican	Conformist	l
Milward, Matthias, fl. 1603-1641	Anglican	Conformist	l
Raban, Edward, d. 1658	Anglican	Conformist	l	Lay printer
Reynolds, John, d. 1693?	Anglican	Conformist	l
Patten, William, fl. 1548-1580	Anglican	Conformist	l	Lay
Sherry, Richard, ca. 1506-ca. 1555	Anglican	Conformist	l
Charles II, King of England, 1630-1685	Anglican	Conformist	m	Received into the Roman church on his deathbed
Scoloker, Anthony, fl. 1548	Anglican		m	Lay printer
Lynne, Walter	Anglican		m	Lay printer
Thomas, William, Clerk of the Council to Edward VI	Anglican		m	Lay
Salesbury, William, 1520?-1600?	Anglican		m	The Welsh New Testament

# ── Anglican, Puritan ─────────────────────────────────────────────
Scudder, Henry, d. 1659?	Anglican	Puritan	h	Westminster divine
Gurnall, William, 1617-1679	Anglican	Puritan	h	The Christian in Complete Armour; conformed in 1662
Abbot, George, 1604-1649	Anglican	Puritan	m	Lay; MP, called "the Puritan"
Maton, Robert, 1607-1653?	Anglican	Puritan	m	Millenarian
Marbury, Edward, 1581-ca. 1655	Anglican	Puritan	m
Thorowgood, Thomas, d. ca. 1669	Anglican	Puritan	m
Goodwin, Philip, d. 1699	Anglican	Puritan	m	Not Thomas or John Goodwin
Resbury, Richard, 1607-1674	Anglican	Puritan	m
Dingley, Robert, 1619-1660	Anglican	Puritan	m
Old, John, fl. 1545-1555	Anglican	Puritan	m	Marian exile
